Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
SP,"Kershaw, Clayton",LAD,L,R,SD,"Shields, J.",P,"$12,400",28.5,2.3,31.1,2.5,31.4,2.5
SP,"Hernandez, Felix",SEA,R,R,LAA,"Weaver, J.",P,"$11,000",24.3,2.2,23.8,2.2,24.8,2.3
SP,"Scherzer, Max",WAS,R,R,NYM,"Colon, B.",P,"$11,500",23.4,2.0,21.0,1.8,23.1,2.0
SP,"Price, David",DET,L,R,MIN,"Hughes, P.",P,"$10,400",23.3,2.2,23.5,2.3,24.2,2.3
SP,"Bumgarner, Madison",SF,R,R,@ARI,"Collmenter, J.",P,"$9,800",23.1,2.4,19.2,2.0,21.9,2.2
SP,"Cueto, Johnny",CIN,R,L,PIT,"Liriano, F.",P,"$9,600",22.8,2.4,26.6,2.8,25.2,2.6
SP,"Tanaka, Masahiro",NYY,R,R,TOR,"Hutchison, D.",P,"$9,700",22.7,2.3,12.3,1.3,23.9,2.5
SP,"Kluber, Corey",CLE,R,L,@HOU,"Keuchel, D.",P,"$9,800",21.5,2.2,37.8,3.9,25.4,2.6
SP,"Teheran, Julio",ATL,R,R,@MIA,"Alvarez, H.",P,"$8,800",19.6,2.2,17.7,2.0,19.8,2.2
SP,"Hamels, Cole",PHI,L,R,BOS,"Buchholz, C.",P,"$9,900",19.5,2.0,21.4,2.2,21.2,2.1
SP,"Shields, James",SD,R,L,@LAD,"Kershaw, C.",P,"$8,900",19.5,2.2,22.0,2.5,17.7,2.0
SP,"Samardzija, Jeff",CWS,R,R,@KC,"Ventura, Y.",P,"$9,100",18.9,2.1,24.5,2.7,19.4,2.1
SP,"Liriano, Francisco",PIT,L,R,@CIN,"Cueto, J.",P,"$8,300",17.5,2.1,25.2,3.0,17.0,2.0
SP,"Gray, Sonny",OAK,R,R,TEX,"Gallardo, Y.",P,"$8,300",17.4,2.1,22.6,2.7,18.6,2.2
SP,"Weaver, Jered",LAA,R,R,@SEA,"Hernandez, F.",P,"$7,500",17.2,2.3,20.0,2.7,16.6,2.2
SP,"Ventura, Yordano",KC,R,R,CWS,"Samardzija, J.",P,"$7,600",17.0,2.2,19.0,2.5,16.5,2.2
SP,"Hughes, Phil",MIN,R,L,@DET,"Price, D.",P,"$8,100",16.6,2.1,23.1,2.9,18.8,2.3
SP,"Archer, Chris",TB,R,R,BAL,"Tillman, C.",P,"$7,600",16.4,2.2,17.1,2.2,16.4,2.2
SP,"Lohse, Kyle",MIL,R,R,COL,"Kendrick, K.",P,"$7,100",16.1,2.3,15.3,2.2,15.9,2.2
SP,"Hutchison, Drew",TOR,L,R,@NYY,"Tanaka, M.",P,"$7,200",15.5,2.1,20.8,2.9,15.8,2.2
SP,"Keuchel, Dallas",HOU,L,R,CLE,"Kluber, C.",P,"$6,900",15.4,2.2,18.3,2.7,18.3,2.6
SP,"Tillman, Chris",BAL,R,R,@TB,"Archer, C.",P,"$7,100",15.3,2.2,17.5,2.5,15.1,2.1
SP,"Gallardo, Yovani",TEX,R,R,@OAK,"Gray, S.",P,"$6,600",14.8,2.2,10.3,1.6,14.2,2.2
SP,"Collmenter, Josh",ARI,R,L,SF,"Bumgarner, M.",P,"$5,900",14.7,2.5,17.4,2.9,12.8,2.2
SP,"Buchholz, Clay",BOS,L,L,@PHI,"Hamels, C.",P,"$6,900",14.0,2.0,13.5,2.0,12.1,1.8
SP,"Alvarez, Henderson",MIA,R,R,ATL,"Teheran, J.",P,"$6,200",13.9,2.2,13.1,2.1,15.1,2.4
SP,"Colon, Bartolo",NYM,R,R,@WAS,"Scherzer, M.",P,"$6,800",13.6,2.0,11.5,1.7,15.5,2.3
SP,"Kendrick, Kyle",COL,R,R,@MIL,"Lohse, K.",P,"$4,200",11.2,2.7,16.4,3.9,11.1,2.7
OF,"Trout, Mike",LAA,R,R,@SEA,"Hernandez, F.",Unknown,"$5,100",10.6,2.1,5.2,1.0,10.2,2.0
OF,"Gomez, Carlos",MIL,R,R,COL,"Kendrick, K.",Unknown,"$5,000",10.1,2.0,13.2,2.6,9.1,1.8
SS,"Tulowitzki, Troy",COL,R,R,@MIL,"Lohse, K.",Unknown,"$5,000",9.9,2.0,6.4,1.3,9.5,1.9
1B,"Cabrera, Miguel DTD",DET,R,R,MIN,"Hughes, P.",Unknown,"$5,000",9.7,1.9,9.0,1.8,8.8,1.8
OF,"McCutchen, Andrew",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$5,100",9.7,1.9,12.8,2.5,9.7,1.9
1B,"Goldschmidt, Paul",ARI,R,L,SF,"Bumgarner, M.",Unknown,"$4,700",9.7,2.1,6.0,1.3,9.6,2.0
OF,"Stanton, Giancarlo",MIA,R,R,ATL,"Teheran, J.",Unknown,"$4,900",9.6,2.0,7.8,1.6,9.9,2.0
OF,"Dickerson, Corey",COL,L,R,@MIL,"Lohse, K.",Unknown,"$4,700",9.5,2.0,9.4,2.0,8.1,1.7
OF,"Bautista, Jose",TOR,R,R,@NYY,"Tanaka, M.",Unknown,"$4,900",9.4,1.9,5.4,1.1,9.2,1.9
