Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","FanDuel Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
P,"Kershaw, Clayton",LAD,L,R,SD,"Shields, J.",P,"$11,700",15.6,1.3,0.0,0.0,0.0,0.0
P,"Scherzer, Max",WAS,R,R,NYM,"Colon, B.",P,"$11,000",14.3,1.3,0.0,0.0,0.0,0.0
P,"Hernandez, Felix",SEA,R,R,LAA,"Weaver, J.",P,"$11,200",14.2,1.3,0.0,0.0,0.0,0.0
P,"Bumgarner, Madison",SF,R,R,@ARI,"Collmenter, J.",P,"$10,500",14.0,1.3,0.0,0.0,0.0,0.0
P,"Cueto, Johnny",CIN,R,L,PIT,"Liriano, F.",P,"$10,500",13.9,1.3,0.0,0.0,0.0,0.0
P,"Kluber, Corey",CLE,R,L,@HOU,"Keuchel, D.",P,"$10,400",13.1,1.3,0.0,0.0,0.0,0.0
P,"Shields, James",SD,R,L,@LAD,"Kershaw, C.",P,"$9,200",12.3,1.3,0.0,0.0,0.0,0.0
P,"Teheran, Julio",ATL,R,R,@MIA,"Alvarez, H.",P,"$9,200",12.0,1.3,0.0,0.0,0.0,0.0
P,"Hamels, Cole",PHI,L,R,BOS,"Buchholz, C.",P,"$10,000",11.9,1.2,0.0,0.0,0.0,0.0
P,"Samardzija, Jeff",CWS,R,R,@KC,"Ventura, Y.",P,"$9,700",11.6,1.2,0.0,0.0,0.0,0.0
P,"Weaver, Jered",LAA,R,R,@SEA,"Hernandez, F.",P,"$8,500",11.1,1.3,0.0,0.0,0.0,0.0
P,"Gray, Sonny",OAK,R,R,TEX,"Gallardo, Y.",P,"$9,400",11.0,1.2,0.0,0.0,0.0,0.0
P,"Ventura, Yordano",KC,R,R,CWS,"Samardzija, J.",P,"$8,200",10.9,1.3,0.0,0.0,0.0,0.0
P,"Hughes, Phil",MIN,R,L,@DET,"Price, D.",P,"$8,400",10.7,1.3,0.0,0.0,0.0,0.0
P,"Keuchel, Dallas",HOU,L,R,CLE,"Kluber, C.",P,"$8,300",10.1,1.2,0.0,0.0,0.0,0.0
P,"Colon, Bartolo",NYM,R,R,@WAS,"Scherzer, M.",P,"$7,700",10.0,1.3,0.0,0.0,0.0,0.0
P,"Lohse, Kyle",MIL,R,R,COL,"Kendrick, K.",P,"$7,500",10.0,1.3,0.0,0.0,0.0,0.0
P,"Tillman, Chris",BAL,R,R,@TB,"Archer, C.",P,"$8,300",10.0,1.2,0.0,0.0,0.0,0.0
P,"Gallardo, Yovani",TEX,R,R,@OAK,"Gray, S.",P,"$7,600",9.7,1.3,0.0,0.0,0.0,0.0
P,"Collmenter, Josh",ARI,R,L,SF,"Bumgarner, M.",P,"$7,200",9.4,1.3,0.0,0.0,0.0,0.0
P,"Buchholz, Clay",BOS,L,L,@PHI,"Hamels, C.",P,"$7,300",9.3,1.3,0.0,0.0,0.0,0.0
OF,"Trout, Mike",LAA,R,R,@SEA,"Hernandez, F.",Unknown,"$5,100",3.7,0.7,0.0,0.0,0.0,0.0
SS,"Tulowitzki, Troy",COL,R,R,@MIL,"Lohse, K.",Unknown,"$4,400",3.5,0.8,0.0,0.0,0.0,0.0
1B,"Goldschmidt, Paul",ARI,R,L,SF,"Bumgarner, M.",Unknown,"$4,800",3.4,0.7,0.0,0.0,0.0,0.0
1B,"Cabrera, Miguel DTD",DET,R,R,MIN,"Hughes, P.",Unknown,"$4,900",3.4,0.7,0.0,0.0,0.0,0.0
OF,"Stanton, Giancarlo",MIA,R,R,ATL,"Teheran, J.",Unknown,"$4,900",3.4,0.7,0.0,0.0,0.0,0.0
OF,"McCutchen, Andrew",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$4,900",3.4,0.7,0.0,0.0,0.0,0.0
