Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
SP,"Kershaw, Clayton",LAD,L,R,@ARI,"Bradley, A.",P,"$12,300",28.5,2.3,20.1,1.6,20.1,1.6
SP,"Bumgarner, Madison",SF,R,R,@SD,"Shields, J.",P,"$10,800",23.2,2.1,18.4,1.7,18.4,1.7
SP,"Teheran, Julio",ATL,R,R,NYM,"Gee, D.",P,"$9,300",19.6,2.1,18.1,1.9,18.1,1.9
SP,"Shields, James",SD,R,L,SF,"Bumgarner, M.",P,"$9,800",19.5,2.0,20.1,2.1,20.1,2.1
SP,"Hamels, Cole",PHI,L,R,WAS,"Fister, D.",P,"$10,200",19.5,1.9,10.5,1.0,10.5,1.0
SP,"Weaver, Jered",LAA,R,R,KC,"Guthrie, J.",P,"$8,000",17.2,2.1,2.7,0.3,2.7,0.3
SP,"Fister, Doug",WAS,L,L,@PHI,"Hamels, C.",P,"$7,800",17.2,2.2,0.0,0.0,0.0,0.0
SP,"Sanchez, Aaron",TOR,R,R,@BAL,"Jimenez, U.",P,"$5,600",16.0,2.9,0.0,0.0,0.0,0.0
SP,"Gallardo, Yovani",TEX,R,R,HOU,"Hernandez, R.",P,"$7,000",14.8,2.1,6.8,1.0,6.8,1.0
SP,"Jimenez, Ubaldo",BAL,R,R,TOR,"Sanchez, A.",P,"$6,200",14.6,2.4,0.0,0.0,0.0,0.0
SP,"Hammel, Jason",CHC,R,R,@COL,"Kendrick, K.",P,"$6,100",14.6,2.4,0.0,0.0,0.0,0.0
SP,"Gee, Dillon",NYM,R,R,@ATL,"Teheran, J.",P,"$6,800",13.9,2.0,0.0,0.0,0.0,0.0
SP,"Nelson, Jimmy",MIL,R,R,PIT,"Worley, V.",P,"$6,400",13.6,2.1,0.0,0.0,0.0,0.0
SP,"Guthrie, Jeremy",KC,,R,@LAA,"Weaver, J.",P,"$6,100",12.5,2.0,0.0,0.0,0.0,0.0
SP,"Hernandez, Roberto",HOU,R,R,@TEX,"Gallardo, Y.",P,"$4,500",11.5,2.6,0.0,0.0,0.0,0.0
SP,"Kendrick, Kyle",COL,R,R,CHC,"Hammel, J.",P,"$4,200",11.1,2.7,27.0,6.4,27.0,6.4
OF,"Trout, Mike",LAA,R,R,KC,"Guthrie, J.",2nd,"$5,600",10.5,1.9,9.0,1.6,9.0,1.6
SS,"Tulowitzki, Troy",COL,R,R,CHC,"Hammel, J.",3rd,"$6,000",10.1,1.7,12.5,2.1,12.5,2.1
OF,"Gomez, Carlos",MIL,R,R,PIT,"Worley, V.",1st,"$5,600",10.1,1.8,4.3,0.8,4.3,0.8
1B,"Goldschmidt, Paul",ARI,R,L,LAD,"Kershaw, C.",3rd,"$4,700",9.7,2.1,14.0,3.0,14.0,3.0
OF,"Dickerson, Corey",COL,L,R,CHC,"Hammel, J.",6th,"$6,000",9.7,1.6,15.0,2.5,15.0,2.5
OF,"Bautista, Jose DTD",TOR,R,R,@BAL,"Jimenez, U.",3rd,"$5,400",9.4,1.7,7.3,1.3,7.3,1.3
OF,"Gonzalez, Carlos",COL,L,R,CHC,"Hammel, J.",2nd,"$5,700",9.3,1.6,11.8,2.1,11.8,2.1
OF,"Blackmon, Charlie",COL,L,R,CHC,"Hammel, J.",1st,"$5,000",9.3,1.9,4.0,0.8,4.0,0.8
1B,"Encarnacion, Edwin",TOR,R,R,@BAL,"Jimenez, U.",4th,"$5,500",9.2,1.7,10.8,2.0,10.8,2.0
2B,"Altuve, Jose",HOU,R,R,@TEX,"Gallardo, Y.",1st,"$4,800",9.2,1.9,5.0,1.0,5.0,1.0
1B,"Rizzo, Anthony",CHC,L,R,@COL,"Kendrick, K.",3rd,"$6,300",9.2,1.5,6.7,1.1,6.7,1.1
SS,"Reyes, Jose",TOR,B,R,@BAL,"Jimenez, U.",1st,"$4,900",9.0,1.8,7.5,1.5,7.5,1.5
OF,"Puig, Yasiel",LAD,R,R,@ARI,"Bradley, A.",Bench,"$4,700",8.9,1.9,3.5,0.7,3.5,0.7
OF,"Springer, George",HOU,R,R,@TEX,"Gallardo, Y.",2nd,"$5,100",8.9,1.7,5.3,1.0,5.3,1.0
1B/OF,"Pearce, Steve",BAL,R,R,TOR,"Sanchez, A.",2nd,"$4,300",8.8,2.1,9.8,2.3,9.8,2.3
OF,"Marte, Starling",PIT,R,R,@MIL,"Nelson, J.",4th,"$5,000",8.7,1.7,5.8,1.2,5.8,1.2
3B,"Beltre, Adrian",TEX,R,R,HOU,"Hernandez, R.",3rd,"$5,100",8.7,1.7,5.2,1.0,5.2,1.0
OF,"Kemp, Matt",SD,R,L,SF,"Bumgarner, M.",3rd,"$4,200",8.7,2.1,7.2,1.7,7.2,1.7
OF,"Fowler, Dexter",CHC,B,R,@COL,"Kendrick, K.",1st,"$5,100",8.6,1.7,1.7,0.3,1.7,0.3
1B,"Pujols, Albert",LAA,R,R,KC,"Guthrie, J.",3rd,"$4,600",8.6,1.9,6.8,1.5,6.8,1.5
OF,"Braun, Ryan",MIL,R,R,PIT,"Worley, V.",3rd,"$5,100",8.6,1.7,2.7,0.5,2.7,0.5
OF,"Crawford, Carl",LAD,L,R,@ARI,"Bradley, A.",2nd,"$4,700",8.5,1.8,6.3,1.3,6.3,1.3
OF,"Soler, Jorge",CHC,R,R,@COL,"Kendrick, K.",2nd,"$5,900",8.5,1.4,4.3,0.7,4.3,0.7
3B/OF,"Zimmerman, Ryan",WAS,R,L,@PHI,"Hamels, C.",4th,"$4,200",8.4,2.0,5.8,1.4,5.8,1.4
1B/OF,"Cuddyer, Michael",NYM,R,R,@ATL,"Teheran, J.",4th,"$3,900",8.4,2.2,4.0,1.0,4.0,1.0
3B/OF,"Harrison, Josh",PIT,R,R,@MIL,"Nelson, J.",1st,"$4,500",8.4,1.9,5.8,1.3,5.8,1.3
1B/OF,"Carter, Chris",HOU,R,R,@TEX,"Gallardo, Y.",4th,"$4,800",8.4,1.7,0.8,0.2,0.8,0.2
OF,"Upton, Justin",SD,R,L,SF,"Bumgarner, M.",4th,"$3,900",8.3,2.1,8.8,2.3,8.8,2.3
OF,"Pollock, A.J.",ARI,R,L,LAD,"Kershaw, C.",1st,"$3,700",8.3,2.3,3.5,0.9,3.5,0.9
3B,"Arenado, Nolan",COL,R,R,CHC,"Hammel, J.",5th,"$5,100",8.3,1.6,14.5,2.8,14.5,2.8
OF,"Davis, Khris",MIL,R,R,PIT,"Worley, V.",6th,"$4,500",8.3,1.9,5.8,1.3,5.8,1.3
OF,"Calhoun, Kole",LAA,L,R,KC,"Guthrie, J.",1st,"$4,600",8.3,1.8,2.5,0.5,2.5,0.5
OF,"Jones, Adam",BAL,R,R,TOR,"Sanchez, A.",4th,"$4,900",8.3,1.7,10.5,2.1,10.5,2.1
C,"Lucroy, Jonathan",MIL,R,R,PIT,"Worley, V.",2nd,"$4,600",8.2,1.8,4.0,0.9,4.0,0.9
1B/C,"Posey, Buster",SF,R,R,@SD,"Shields, J.",4th,"$4,200",8.2,2.0,8.6,2.0,8.6,2.0
1B,"Gonzalez, Adrian",LAD,L,R,@ARI,"Bradley, A.",3rd,"$4,600",8.2,1.8,26.0,5.7,26.0,5.7
SS,"Desmond, Ian",WAS,R,L,@PHI,"Hamels, C.",6th,"$4,200",8.2,2.0,4.8,1.1,4.8,1.1
OF,"Granderson, Curtis",NYM,L,R,@ATL,"Teheran, J.",1st,"$3,700",8.2,2.2,4.8,1.3,4.8,1.3
1B,"Fielder, Prince",TEX,L,R,HOU,"Hernandez, R.",4th,"$5,100",8.2,1.6,7.6,1.5,7.6,1.5
3B,"Donaldson, Josh",TOR,R,R,@BAL,"Jimenez, U.",5th,"$4,900",8.2,1.7,7.5,1.5,7.5,1.5
1B,"Freeman, Freddie",ATL,L,R,NYM,"Gee, D.",4th,"$4,800",8.2,1.7,8.0,1.7,8.0,1.7
1B/3B,"Davis, Chris",BAL,L,R,TOR,"Sanchez, A.",3rd,"$4,900",8.1,1.7,4.0,0.8,4.0,0.8
OF,"Young Jr., Eric",ATL,B,R,NYM,"Gee, D.",1st,"$3,600",8.1,2.3,5.3,1.5,5.3,1.5
OF,"De Aza, Alejandro",BAL,L,R,TOR,"Sanchez, A.",1st,"$4,200",8.1,1.9,10.3,2.5,10.3,2.5
3B,"Wright, David",NYM,R,R,@ATL,"Teheran, J.",2nd,"$3,900",8.1,2.1,11.0,2.8,11.0,2.8
3B,"Alvarez, Pedro",PIT,L,R,@MIL,"Nelson, J.",5th,"$4,500",8.1,1.8,11.8,2.6,11.8,2.6
SS,"Rollins, Jimmy",LAD,B,R,@ARI,"Bradley, A.",1st,"$4,100",8.0,2.0,13.0,3.2,13.0,3.2
OF,"Myers, Wil",SD,R,L,SF,"Bumgarner, M.",1st,"$3,500",8.0,2.3,7.4,2.1,7.4,2.1
2B,"Utley, Chase",PHI,L,R,WAS,"Fister, D.",3rd,"$4,100",7.9,1.9,2.3,0.5,2.3,0.5
1B,"Duda, Lucas",NYM,L,R,@ATL,"Teheran, J.",3rd,"$4,200",7.9,1.9,4.8,1.1,4.8,1.1
OF,"Martin, Leonys",TEX,L,R,HOU,"Hernandez, R.",1st,"$5,000",7.9,1.6,3.0,0.6,3.0,0.6
2B/3B,"Walker, Neil",PIT,B,R,@MIL,"Nelson, J.",3rd,"$4,600",7.8,1.7,8.5,1.8,8.5,1.8
OF,"Rios, Alex",KC,R,R,@LAA,"Weaver, J.",Unknown,"$3,800",7.8,2.1,10.0,2.6,10.0,2.6
C,"Norris, Derek",SD,R,L,SF,"Bumgarner, M.",5th,"$3,100",7.8,2.5,7.2,2.3,7.2,2.3
1B,"Morneau, Justin",COL,L,R,CHC,"Hammel, J.",4th,"$5,300",7.8,1.5,4.8,0.9,4.8,0.9
3B,"Ramirez, Aramis",MIL,R,R,PIT,"Worley, V.",5th,"$4,200",7.8,1.8,2.3,0.5,2.3,0.5
1B,"Lind, Adam",MIL,L,R,PIT,"Worley, V.",4th,"$4,600",7.8,1.7,13.8,3.0,13.8,3.0
OF,"Coghlan, Chris",CHC,L,R,@COL,"Kendrick, K.",6th,"$4,600",7.7,1.7,1.7,0.4,1.7,0.4
SS,"Castro, Starlin",CHC,R,R,@COL,"Kendrick, K.",5th,"$5,200",7.7,1.5,4.3,0.8,4.3,0.8
1B/OF,"Trumbo, Mark",ARI,R,L,LAD,"Kershaw, C.",4th,"$3,800",7.7,2.0,5.8,1.5,5.8,1.5
OF,"Revere, Ben",PHI,L,R,WAS,"Fister, D.",1st,"$4,000",7.7,1.9,3.8,0.9,3.8,0.9
1B,"Hosmer, Eric",KC,L,R,@LAA,"Weaver, J.",Unknown,"$4,000",7.7,1.9,11.0,2.8,11.0,2.8
OF,"Harper, Bryce",WAS,L,L,@PHI,"Hamels, C.",3rd,"$4,100",7.6,1.9,7.0,1.7,7.0,1.7
OF,"Gordon, Alex",KC,L,R,@LAA,"Weaver, J.",Unknown,"$4,000",7.6,1.9,5.7,1.4,5.7,1.4
OF,"Pagan, Angel",SF,B,R,@SD,"Shields, J.",3rd,"$3,400",7.5,2.2,9.8,2.9,9.8,2.9
OF,"Rasmus, Colby",HOU,L,R,@TEX,"Gallardo, Y.",7th,"$4,200",7.5,1.8,5.3,1.3,5.3,1.3
OF,"Pompey, Dalton",TOR,B,R,@BAL,"Jimenez, U.",2nd,"$4,100",7.5,1.8,6.8,1.6,6.8,1.6
C,"Martin, Russell",TOR,R,R,@BAL,"Jimenez, U.",6th,"$4,500",7.5,1.7,4.3,1.0,4.3,1.0
2B,"Kendrick, Howie",LAD,R,R,@ARI,"Bradley, A.",4th,"$4,600",7.4,1.6,7.8,1.7,7.8,1.7
